x,y,image_path,prediction,ground_truth
-0.45254678,5.111926,/kaggle/input/oneshot/test_OS/real/real_111.jpg,[uncertain],real
-9.352146,6.435876,/kaggle/input/oneshot/test_OS/real/real_59.jpg,[generated],real
11.397153,-4.2844677,/kaggle/input/oneshot/test_OS/real/real_45.jpg,[uncertain],real
-10.10146,4.3322964,/kaggle/input/oneshot/test_OS/real/real_4.jpg,[generated],real
0.8828856,-4.3739,/kaggle/input/oneshot/test_OS/real/real_73.jpg,[uncertain],real
10.460356,6.248273,/kaggle/input/oneshot/test_OS/real/real_106.jpg,[uncertain],real
6.670503,10.250704,/kaggle/input/oneshot/test_OS/real/real_98.jpg,[uncertain],real
-3.5809283,11.087909,/kaggle/input/oneshot/test_OS/real/real_94.jpg,[real face],real
11.4479475,9.957309,/kaggle/input/oneshot/test_OS/real/real_30.jpg,[uncertain],real
-20.788595,-2.8908103,/kaggle/input/oneshot/test_OS/real/real_6.jpg,[generated],real
17.627214,-2.696595,/kaggle/input/oneshot/test_OS/real/real_75.jpg,[generated],real
8.714707,12.788369,/kaggle/input/oneshot/test_OS/real/real_144.jpg,[uncertain],real
-19.9931,-5.242626,/kaggle/input/oneshot/test_OS/real/real_119.jpg,[generated],real
-19.33911,-7.350991,/kaggle/input/oneshot/test_OS/real/real_84.jpg,[generated],real
8.477428,13.239503,/kaggle/input/oneshot/test_OS/real/real_53.jpg,[uncertain],real
-18.62561,-5.6945267,/kaggle/input/oneshot/test_OS/real/real_110.jpg,[generated],real
9.341428,7.639527,/kaggle/input/oneshot/test_OS/real/real_57.jpg,[uncertain],real
5.2687635,10.065713,/kaggle/input/oneshot/test_OS/real/real_97.jpg,[uncertain],real
2.8111176,8.361238,/kaggle/input/oneshot/test_OS/real/real_46.jpg,[uncertain],real
4.041516,10.088735,/kaggle/input/oneshot/test_OS/real/real_124.jpg,[uncertain],real
4.3516955,0.11228579,/kaggle/input/oneshot/test_OS/real/real_41.jpg,[uncertain],real
-0.21027555,-6.5052414,/kaggle/input/oneshot/test_OS/real/real_47.jpg,[uncertain],real
-8.950668,4.3818297,/kaggle/input/oneshot/test_OS/real/real_100.jpg,[uncertain],real
-1.604942,6.015281,/kaggle/input/oneshot/test_OS/real/real_88.jpg,[uncertain],real
6.146378,-3.51631,/kaggle/input/oneshot/test_OS/real/real_29.jpg,[uncertain],real
-5.9925175,2.0358143,/kaggle/input/oneshot/test_OS/real/real_136.jpg,[uncertain],real
-16.716673,3.361959,/kaggle/input/oneshot/test_OS/real/real_133.jpg,[generated],real
-11.1273575,0.34197447,/kaggle/input/oneshot/test_OS/real/real_64.jpg,[uncertain],real
-19.111221,2.229027,/kaggle/input/oneshot/test_OS/real/real_108.jpg,[generated],real
7.69432,14.443186,/kaggle/input/oneshot/test_OS/real/real_37.jpg,[real face],real
-13.505532,3.8768895,/kaggle/input/oneshot/test_OS/real/real_44.jpg,[real face],real
10.568907,12.162334,/kaggle/input/oneshot/test_OS/real/real_51.jpg,[uncertain],real
9.775412,9.980343,/kaggle/input/oneshot/test_OS/real/real_70.jpg,[uncertain],real
-3.0229418,4.5736866,/kaggle/input/oneshot/test_OS/real/real_13.jpg,[uncertain],real
2.675986,-13.236865,/kaggle/input/oneshot/test_OS/real/real_21.jpg,[uncertain],real
-13.4897,0.12966181,/kaggle/input/oneshot/test_OS/real/real_87.jpg,[uncertain],real
-0.54849803,-7.221656,/kaggle/input/oneshot/test_OS/real/real_148.jpg,[uncertain],real
-3.2977424,10.181594,/kaggle/input/oneshot/test_OS/real/real_62.jpg,[uncertain],real
5.3122463,3.240744,/kaggle/input/oneshot/test_OS/real/real_102.jpg,[uncertain],real
-15.87095,1.9249825,/kaggle/input/oneshot/test_OS/real/real_105.jpg,[generated],real
-19.564531,-1.3320053,/kaggle/input/oneshot/test_OS/real/real_67.jpg,[generated],real
6.705384,15.452176,/kaggle/input/oneshot/test_OS/real/real_125.jpg,[generated],real
