image_path,prediction,ground_truth,cluster,cluster_keyword
/kaggle/input/oneshot/test_OS/real/real_111.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_59.jpg,[generated],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_45.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_4.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_73.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_106.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_98.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_94.jpg,[real face],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_30.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_6.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_75.jpg,[generated],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_144.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_119.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_84.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_53.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_110.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_57.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_97.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_46.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_124.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_41.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_47.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_100.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_88.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_29.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_136.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_133.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_64.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_108.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_37.jpg,[real face],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_44.jpg,[real face],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_51.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_70.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_13.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_21.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_87.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_148.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_62.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_102.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_105.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_67.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_125.jpg,[generated],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_77.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_82.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_142.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_89.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_3.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_27.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_143.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_16.jpg,[real face],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_25.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_79.jpg,[uncertain],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_8.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_34.jpg,[generated],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_134.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_85.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_78.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_140.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_137.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_72.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_80.jpg,[real face],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_115.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_130.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_60.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_39.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_101.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_18.jpg,[uncertain],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_2.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_123.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_122.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_49.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_63.jpg,[uncertain],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_43.jpg,[generated],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_138.jpg,[uncertain],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_17.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_7.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_65.jpg,[generated],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_129.jpg,[uncertain],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_149.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_20.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_61.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_35.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_38.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_56.jpg,[generated],real,1,"carefully, crafted, depiction"
/kaggle/input/oneshot/test_OS/real/real_0.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_42.jpg,[generated],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_116.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_14.jpg,[generated],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_128.jpg,[generated],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_109.jpg,[uncertain],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_113.jpg,[real face],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_31.jpg,[uncertain],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_74.jpg,[generated],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_52.jpg,[uncertain],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_135.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_139.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_36.jpg,[generated],real,3,"unique, balloons, objects"
/kaggle/input/oneshot/test_OS/real/real_22.jpg,[uncertain],real,4,"girl, identify, aligned"
/kaggle/input/oneshot/test_OS/real/real_147.jpg,[uncertain],real,0,"sources, inspection, smartphone"
/kaggle/input/oneshot/test_OS/real/real_69.jpg,[generated],real,2,"designed, attention, solely"
/kaggle/input/oneshot/test_OS/real/real_24.jpg,[generated],real,1,"carefully, crafted, depiction"
